symbol,IntraFormer_rmse_scaled,IntraFormer_mae_scaled,IntraFormer_rmse_real,IntraFormer_mae_real,IntraFormer_mape_pct,CNN-LSTM_rmse_scaled,CNN-LSTM_mae_scaled,CNN-LSTM_rmse_real,CNN-LSTM_mae_real,CNN-LSTM_mape_pct,LSTM_rmse_scaled,LSTM_mae_scaled,LSTM_rmse_real,LSTM_mae_real,LSTM_mape_pct,GRU_rmse_scaled,GRU_mae_scaled,GRU_rmse_real,GRU_mae_real,GRU_mape_pct,CLAM_rmse_scaled,CLAM_mae_scaled,CLAM_rmse_real,CLAM_mae_real,CLAM_mape_pct,Autoformer_rmse_scaled,Autoformer_mae_scaled,Autoformer_rmse_real,Autoformer_mae_real,Autoformer_mape_pct,FEDformer_rmse_scaled,FEDformer_mae_scaled,FEDformer_rmse_real,FEDformer_mae_real,FEDformer_mape_pct,Informer_rmse_scaled,Informer_mae_scaled,Informer_rmse_real,Informer_mae_real,Informer_mape_pct,iTransformer_rmse_scaled,iTransformer_mae_scaled,iTransformer_rmse_real,iTransformer_mae_real,iTransformer_mape_pct
JNJ,0.0273,0.0219,3.559,2.8502,1.49,0.043,0.0317,5.5964,4.1338,2.09,0.0465,0.0354,6.0626,4.6117,2.35,0.0297,0.0225,3.8756,2.9339,1.51,0.1175,0.0986,15.3018,12.8512,6.52,0.9821,0.9674,127.9396,126.0244,67.45,1.0012,0.9839,130.4303,128.1741,68.37,0.2168,0.1602,28.2424,20.8702,10.16,0.9364,0.9138,121.9958,119.0435,63.53
JPM,0.0455,0.0366,6.1336,4.9346,1.66,0.2543,0.2492,34.2484,33.5524,11.14,0.0946,0.0824,12.7353,11.0955,3.66,0.1158,0.1093,15.5938,14.7234,4.88,0.3421,0.335,46.0619,45.1131,15.08,1.9759,1.9719,266.0676,265.5361,88.75,1.96,1.9566,263.931,263.4708,88.07,0.886,0.8789,119.3129,118.354,39.42,1.8574,1.8321,250.1141,246.7067,82.37
LLY,0.1256,0.0951,35.0752,26.5722,3.04,0.6566,0.603,183.3847,168.4106,18.5,0.6753,0.6228,188.6239,173.942,19.14,0.5162,0.4673,144.1717,130.5142,14.25,0.4551,0.3715,127.1146,103.7738,11.25,2.979,2.934,832.0744,819.4978,93.72,3.0119,2.9691,841.2595,829.303,94.91,1.6446,1.5741,459.3519,439.6684,49.26,2.8769,2.805,803.5599,783.4587,89.36
META,0.0591,0.0479,21.3902,17.3315,2.51,0.1283,0.1165,46.4208,42.1703,5.96,0.1598,0.1472,57.8231,53.2718,7.54,0.0855,0.0745,30.9561,26.981,3.81,0.3919,0.3307,141.8306,119.7022,17.71,1.7344,1.728,627.7111,625.4068,89.91,1.7206,1.714,622.713,620.3484,89.16,0.4869,0.4724,176.2087,170.9634,24.3,1.6322,1.6093,590.721,582.4322,83.55
MRK,0.041,0.0321,2.5267,1.9752,2.18,0.0876,0.0646,5.3973,3.9792,4.05,0.0745,0.0546,4.5857,3.3653,3.47,0.043,0.031,2.6493,1.9072,2.02,0.1901,0.1463,11.7102,9.0105,9.12,1.0101,0.9849,62.2113,60.6569,66.56,0.9827,0.9605,60.5205,59.1534,64.97,0.2229,0.1595,13.7301,9.8248,9.74,0.9681,0.9465,59.6249,58.295,64.21
MS,0.0387,0.0306,3.3352,2.6331,1.68,0.2005,0.1892,17.275,16.3046,10.16,0.1667,0.1541,14.3587,13.2771,8.23,0.0713,0.0616,6.1424,5.3115,3.28,0.6053,0.584,52.1531,50.317,31.53,1.6686,1.6552,143.7569,142.6012,90.91,1.619,1.6066,139.4902,138.4138,88.26,0.4988,0.4735,42.9757,40.7918,25.39,1.6201,1.6075,139.5813,138.4946,88.29
MSFT,0.0395,0.0297,12.427,9.3338,1.98,0.1188,0.1127,37.3804,35.4602,7.13,0.0967,0.0902,30.4236,28.3796,5.7,0.0454,0.0403,14.2937,12.6761,2.57,0.3285,0.3162,103.3705,99.4951,20.02,1.4847,1.4803,467.1314,465.7564,94.89,1.4893,1.4854,468.5923,467.3624,95.24,0.3704,0.36,116.5248,113.2717,22.82,1.3596,1.296,427.77,407.7717,83.08
NVDA,0.1679,0.1284,5.5582,4.2497,2.43,2.2448,2.2143,74.3099,73.3023,41.18,1.4945,1.4705,49.4736,48.6787,27.33,1.6308,1.6063,53.9843,53.1734,29.86,3.3789,3.3529,111.8544,110.9954,62.61,5.3428,5.3233,176.866,176.2222,99.77,5.3453,5.3259,176.9507,176.3082,99.82,4.177,4.1533,138.2763,137.4905,77.68,5.3378,5.3186,176.7024,176.065,99.68
ORCL,0.1856,0.1358,14.9482,10.9414,5.04,0.8538,0.7703,68.7788,62.0483,25.94,0.6988,0.6207,56.2912,50.0036,20.79,0.322,0.2631,25.9415,21.1917,8.67,1.3878,1.2913,111.7955,104.0227,44.17,2.5372,2.4786,204.3871,199.663,87.75,2.5166,2.4571,202.7237,197.9321,86.94,1.3993,1.3097,112.7179,105.4996,44.93,2.5228,2.4644,203.228,198.5188,87.24
PFE,0.0132,0.0104,0.5555,0.4355,1.78,0.0139,0.0105,0.5848,0.4398,1.79,0.0161,0.012,0.6748,0.5045,2.06,0.0131,0.0093,0.5504,0.3903,1.59,0.0264,0.0205,1.1102,0.8637,3.53,0.2399,0.2274,10.0833,9.5591,39.07,0.2087,0.2005,8.7724,8.4275,34.46,0.0141,0.0107,0.591,0.4507,1.85,0.17,0.1589,7.1464,6.6781,27.37
SCHW,0.0231,0.0177,1.8752,1.4331,1.51,0.0309,0.0266,2.5072,2.1584,2.25,0.0325,0.0274,2.6328,2.22,2.31,0.0211,0.0163,1.7142,1.322,1.38,0.1006,0.0926,8.1602,7.5091,7.83,1.0117,1.0106,82.0696,81.9824,86.6,0.9949,0.9938,80.7122,80.6166,85.12,0.0813,0.078,6.5962,6.3243,6.65,0.9052,0.8733,73.4287,70.8421,74.74
SPGI,0.0326,0.0218,14.4298,9.6451,1.97,0.0402,0.0328,17.7906,14.4917,2.86,0.0438,0.0328,19.3405,14.504,2.91,0.027,0.0187,11.9434,8.2594,1.66,0.1028,0.0908,45.4188,40.1429,7.77,1.085,1.0825,479.5892,478.4856,93.59,1.0372,1.0347,458.4702,457.3536,89.42,0.1068,0.0916,47.2036,40.4756,7.71,0.9803,0.916,433.3151,404.8853,79.07
TMO,0.0271,0.0206,16.7962,12.8004,2.53,0.0294,0.0212,18.2038,13.1165,2.54,0.0329,0.024,20.4168,14.9036,2.87,0.0237,0.0171,14.7046,10.6228,2.07,0.0632,0.0551,39.1674,34.156,6.72,0.7008,0.6919,434.4489,428.96,83.73,0.7214,0.713,447.2523,442.0363,85.94,0.0381,0.0324,23.6386,20.0719,4.05,0.8136,0.7399,504.4088,458.6898,87.92
UNH,0.0488,0.0337,23.9263,16.5181,5.53,0.0318,0.0224,15.5608,10.9685,3.63,0.0345,0.0244,16.9242,11.9549,3.94,0.0246,0.017,12.0695,8.3266,2.7,0.1132,0.0874,55.453,42.815,13.82,0.5335,0.527,261.4346,258.2444,82.35,0.5481,0.5417,268.5954,265.4502,84.14,0.0755,0.0551,36.9816,27.0036,9.05,0.6655,0.6273,326.115,307.4015,98.03
WFC,0.054,0.0428,2.0543,1.6257,1.97,0.1532,0.1444,5.8241,5.4907,6.51,0.127,0.1129,4.8286,4.2915,5.06,0.0923,0.0823,3.5086,3.1296,3.69,0.6921,0.651,26.3124,24.7491,29.46,1.5324,1.521,58.2576,57.8258,69.21,1.4805,1.4727,56.2833,55.9884,67.07,0.6368,0.6191,24.2092,23.5365,27.91,1.4963,1.4897,56.8838,56.6339,67.85
